type,depth,arity,density
natural,6,0.9722222222222222,0.027777777777777776
random,8,0.9722222222222222,0.027777777777777776
natural,10,0.9565217391304348,0.043478260869565216
random,7,0.9565217391304348,0.043478260869565216
natural,8,0.9714285714285714,0.02857142857142857
random,5,0.9714285714285714,0.02857142857142857
natural,7,0.9696969696969697,0.030303030303030304
random,5,0.9696969696969697,0.030303030303030304
natural,5,0.9090909090909091,0.09090909090909091
random,4,0.9090909090909091,0.09090909090909091
natural,4,0.9333333333333333,0.06666666666666667
random,4,0.9333333333333333,0.06666666666666667
natural,4,0.9090909090909091,0.09090909090909091
random,5,0.9090909090909091,0.09090909090909091
natural,13,0.9696969696969697,0.030303030303030304
random,5,0.9696969696969697,0.030303030303030304
natural,5,0.9545454545454546,0.045454545454545456
random,3,0.9545454545454546,0.045454545454545456
natural,2,0.8571428571428571,0.14285714285714285
random,3,0.8571428571428571,0.14285714285714285
natural,5,0.9444444444444444,0.05555555555555555
random,5,0.9444444444444444,0.05555555555555555
natural,6,0.96,0.04
random,3,0.96,0.04
natural,6,0.96,0.04
random,5,0.96,0.04
natural,6,0.9629629629629629,0.037037037037037035
random,6,0.9629629629629629,0.037037037037037035
natural,5,0.95,0.05
random,6,0.95,0.05
natural,4,0.9230769230769231,0.07692307692307693
random,4,0.9230769230769231,0.07692307692307693
natural,5,0.9,0.1
random,5,0.9,0.1
natural,6,0.972972972972973,0.02702702702702703
random,6,0.972972972972973,0.02702702702702703
natural,3,0.9285714285714286,0.07142857142857142
random,5,0.9285714285714286,0.07142857142857142
natural,9,0.96,0.04
random,7,0.96,0.04
natural,7,0.9523809523809523,0.047619047619047616
random,8,0.9523809523809523,0.047619047619047616
natural,7,0.9166666666666666,0.08333333333333333
random,3,0.9166666666666666,0.08333333333333333
natural,7,0.9655172413793104,0.034482758620689655
random,5,0.9655172413793104,0.034482758620689655
natural,3,0.9333333333333333,0.06666666666666667
random,5,0.9333333333333333,0.06666666666666667
natural,4,0.9333333333333333,0.06666666666666667
random,4,0.9333333333333333,0.06666666666666667
natural,6,0.9444444444444444,0.05555555555555555
random,5,0.9444444444444444,0.05555555555555555
natural,7,0.96,0.04
random,7,0.96,0.04
natural,6,0.9523809523809523,0.047619047619047616
random,5,0.9523809523809523,0.047619047619047616
natural,4,0.9090909090909091,0.09090909090909091
random,3,0.9090909090909091,0.09090909090909091
natural,6,0.975609756097561,0.024390243902439025
random,5,0.975609756097561,0.024390243902439025
natural,6,0.9583333333333334,0.041666666666666664
random,8,0.9583333333333334,0.041666666666666664
natural,7,0.9411764705882353,0.058823529411764705
random,6,0.9411764705882353,0.058823529411764705
natural,7,0.95,0.05
random,5,0.95,0.05
natural,7,0.96,0.04
random,5,0.96,0.04
natural,6,0.9375,0.0625
random,7,0.9375,0.0625
natural,9,0.9565217391304348,0.043478260869565216
random,5,0.9565217391304348,0.043478260869565216
natural,7,0.9583333333333334,0.041666666666666664
random,5,0.9583333333333334,0.041666666666666664
natural,2,0.8333333333333334,0.16666666666666666
random,2,0.8333333333333334,0.16666666666666666
natural,4,0.9,0.1
random,4,0.9,0.1
natural,5,0.9411764705882353,0.058823529411764705
random,4,0.9411764705882353,0.058823529411764705
natural,7,0.9444444444444444,0.05555555555555555
random,4,0.9444444444444444,0.05555555555555555
natural,2,0.8333333333333334,0.16666666666666666
